file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\global.js,1,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,22
static\global.js,2,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,3,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,45
static\global.js,4,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,52
static\global.js,5,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,6,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,7,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,25
static\global.js,8,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,9,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,30
static\global.js,10,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,2,63
static\global.js,11,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,12,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,13,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,53
static\global.js,14,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,35
static\global.js,15,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,2
static\global.js,16,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,17,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,73
static\global.js,18,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,19,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,11
static\global.js,20,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,24
static\global.js,21,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,35
static\global.js,22,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,33
static\global.js,23,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,2,31
static\global.js,24,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,2,55
static\global.js,25,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,26,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,27,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,38
static\global.js,28,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,25
static\global.js,29,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
